Start	time：2023-07-06	19:05:08.308
Date	Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	hx	hy	hz	q0	q1	q2	q3	
2023-07-06	19:05:11.755	-0.0005	0.1357	0.9312	-24.4751	-68.8477	-7.6294	7.6849	-8.4155	-132.5391	0	0	0	0.4049	-0.0401	-0.0906	-0.9090	
2023-07-06	19:05:11.818	0.2085	0.1885	0.9214	33.8135	-40.2222	-4.3945	9.2670	-12.9419	-135.1318	0	0	0	0.3864	-0.0732	-0.1171	-0.9120	
2023-07-06	19:05:11.955	0.2480	0.1890	0.8853	11.3525	-22.7661	-1.1597	11.4093	-15.4303	-135.5933	0	0	0	0.3850	-0.0865	-0.1417	-0.9079	
2023-07-06	19:05:12.021	0.2710	0.2456	0.8618	5.9814	-11.4746	11.1084	12.5244	-17.7374	-135.6812	0	0	0	0.3860	-0.1013	-0.1576	-0.9033	
2023-07-06	19:05:12.157	0.2275	0.1997	0.8945	-11.5967	94.9097	48.5229	9.8822	-12.4091	-129.6002	0	0	0	0.4301	-0.0610	-0.1233	-0.8922	
2023-07-06	19:05:12.223	0.0391	0.0850	1.0249	-23.4375	138.4277	36.1328	7.2235	1.1591	-121.9427	0	0	0	0.4837	0.0394	-0.0502	-0.8729	
2023-07-06	19:05:12.352	-0.1641	0.0620	1.0029	-39.8560	117.1875	32.4707	5.6744	11.1731	-118.4326	0	0	0	0.5046	0.1087	0.0074	-0.8564	
2023-07-06	19:05:12.432	-0.3145	0.0537	0.9829	-18.6157	97.3511	21.3013	4.6472	18.9569	-115.7300	0	0	0	0.5186	0.1606	0.0537	-0.8381	
2023-07-06	19:05:12.545	-0.3379	0.0508	0.9844	14.6484	67.1997	48.7061	6.2128	23.4338	-113.4338	0	0	0	0.5274	0.1986	0.0669	-0.8234	
2023-07-06	19:05:12.629	-0.4785	0.0698	0.9565	-1.8921	7.3242	35.5835	9.6130	25.0983	-108.4296	0	0	0	0.5540	0.2235	0.0603	-0.7997	
2023-07-06	19:05:12.745	-0.4409	0.0947	0.9453	-4.7607	-17.5171	3.4790	9.1022	24.7083	-108.5724	0	0	0	0.5546	0.2184	0.0616	-0.8006	
2023-07-06	19:05:12.833	-0.3887	0.0894	0.9946	-5.3711	-45.8984	4.8218	8.1079	21.4453	-108.7097	0	0	0	0.5605	0.1913	0.0517	-0.8041	
2023-07-06	19:05:12.948	-0.2124	0.1328	0.9741	-7.2021	-39.3677	-0.4883	9.0143	13.6505	-109.9731	0	0	0	0.5603	0.1418	0.0041	-0.8161	
2023-07-06	19:05:13.035	-0.1104	0.1240	0.9551	30.4565	-114.5020	-14.8315	9.2944	5.8777	-112.5879	0	0	0	0.5489	0.0874	-0.0390	-0.8304	
2023-07-06	19:05:13.149	0.0093	0.1729	0.9741	6.5308	-126.6479	-41.3818	10.7281	-1.8127	-117.0538	0	0	0	0.5210	0.0354	-0.0879	-0.8483	
2023-07-06	19:05:13.237	0.1948	0.1353	0.9409	12.8174	-58.2886	-53.0396	9.7833	-8.0640	-121.7065	0	0	0	0.4893	-0.0198	-0.1084	-0.8651	
2023-07-06	19:05:13.354	0.2485	0.1831	0.8931	-0.3662	-33.6914	-11.7798	11.1072	-13.7933	-125.8319	0	0	0	0.4602	-0.0627	-0.1400	-0.8745	
2023-07-06	19:05:13.439	0.2241	0.1973	0.8540	-13.1226	36.4990	20.6909	10.9918	-15.3754	-126.6339	0	0	0	0.4544	-0.0764	-0.1446	-0.8756	
2023-07-06	19:05:13.557	0.1987	0.1494	0.9238	-2.0752	20.9351	4.2114	9.3494	-11.5906	-124.0521	0	0	0	0.4724	-0.0508	-0.1188	-0.8719	
2023-07-06	19:05:13.643	0.1245	0.1030	0.9937	-28.1982	78.1860	16.1133	7.6025	-5.8887	-121.6626	0	0	0	0.4886	-0.0125	-0.0828	-0.8685	
